,query,value
0,apple watch,100
1,apple store,45
2,apple tv,42
3,apple iphone,38
4,iphone,38
5,apple cider,32
6,apple vinegar,27
7,apple cider vinegar,26
8,apple stock,25
9,apple id,23
10,apple music,22
11,apple phone,18
12,ipad,18
13,apple ipad,18
14,apple pay,16
15,apple watch 5,13
16,apple number,12
17,apple support,12
18,apple card,12
19,apple macbook,11
20,apple mac,10
21,apple airpods,10
22,airpods,10
23,apple valley,10
24,apple watch 3,10
0,how to zoom,100
1,zoom meeting,94
2,zoom app,81
3,zoom in,73
4,zoom background,40
5,google zoom,31
6,zoom login,31
7,zoom video,30
8,zoom download,29
9,zoom stock,24
10,zoom meetings,22
11,nike zoom,19
12,zoom backgrounds,19
13,zoom free,17
14,what is zoom,15
15,zoom games,13
16,zoom call,12
17,join zoom,12
18,zoom online,10
19,join zoom meeting,9
20,how to use zoom,9
21,zoom account,9
22,zoom phone,9
23,virtual background zoom,8
24,change zoom background,7
0,tesla stock,100
1,tesla model,49
2,tesla price,31
3,model 3,23
4,tesla model 3,23
5,tesla stock price,21
6,tesla car,14
7,tesla truck,11
8,2020 tesla,10
9,model y,10
10,model y tesla,10
11,model s tesla,10
12,tesla model x,10
13,amazon stock,8
14,tesla news,7
15,tesla cost,7
16,nikola,7
17,nikola tesla,7
18,apple stock,7
19,tesla used,7
20,tesla for sale,6
21,tesla cars,6
22,cybertruck,6
23,tesla cybertruck,6
24,tesla battery,6
0,audi a4,100
1,audi for sale,67
2,2020 audi,57
3,q5 audi,53
4,audi r8,52
5,audi car,51
6,audi a6,49
7,q7 audi,46
8,bmw,39
9,audi a3,36
10,used audi,35
11,a5 audi,30
12,s4 audi,28
13,2017 audi,27
14,audi quattro,27
15,cars,27
16,audi tt,27
17,audi cars,26
18,audi suv,26
19,mercedes,25
20,audi near me,24
21,audi q3,22
22,a7 audi,22
23,audi s5,22
24,q8 audi,18
